sl_no,date,source_of_leads,department,alloted_person,contact_no,customer_name,customer_business_name,business_type,latitude,longitude,city,work_requirement,year,month,phone_valid,is_duplicate_lead,stage_clean_norm,final_lead_stage,Revenue
35,2023-03-16,Facebook,Office Interiors,Suresh L,9423370727,Rekha Warrier,Asif Builders,Corporate,9.508191200565909,76.31365398209275,Alappuzha,Bathroom Renovation,2023,3,True,False,Site Visit,Lost,0
36,2023-03-18,Facebook,Office Interiors,Sneha B,9748372124,Gopal Kurup,Thomas Enterprises,Individual,11.858595857143555,75.35209426217673,Kannur,Pooja Room,2023,3,True,False,Site Visit,Follow-up,0
37,2023-03-20,JustDial,Modular Kitchen,Sneha B,9900666054,Anoop George,,Corporate,9.633326806657768,76.55308263234916,Kottayam,Modular Wardrobe,2023,3,True,False,Quotation Sent,Won,1761909
38,2023-03-23,Facebook,Renovation,Ajith P,9816279884,Lakshmi Kumar,Divya Builders,Builder,9.488759053735949,76.3763488650396,Alappuzha,Bedroom Design,2023,3,True,False,Quotation Sent,Won,813361
39,2023-03-25,Facebook,Residential,Priya M,9423907813,Anjali Krishnan,,Small Business,9.895528145870264,76.24754663174615,Kochi,Modern Kitchen,2023,3,True,False,Negotiation,Won,434793
40,2023-03-27,Walk-in,Residential,Meera T,9505133201,Babu Thomas,,Architect Referral,10.549071883350203,76.25026981212446,Thrissur,Traditional Living Room,2023,3,True,False,Won,Won,1098025
41,2023-03-29,Instagram,Office Interiors,Divya N,9507469313,Rekha Kurup,Suresh Homes,Corporate,9.5709353421441,76.55792309373697,Kottayam,Pooja Room,2023,3,False,False,Site Visit,Site Visit,0
42,2023-03-31,Walk-in,Commercial,Rahul S,9369352928,Sabu Iyer,,Builder,9.93374703073559,76.2937650950385,Kochi,Pooja Room,2023,3,True,False,Quotation Sent,Won,1711127
43,2023-04-03,Google Ads,Office Interiors,Suresh L,9429434293,Divya Krishnan,Thankam Properties,Builder,11.070783278550516,76.03576951140153,Malappuram,Bedroom Design,2023,4,True,False,Site Visit,Won,109155
44,2023-04-05,Referral,Office Interiors,Vijay R,9988361852,Rajesh Pillai,Suma Developers,Small Business,9.631626411120207,76.54123228469007,Kottayam,Modern Kitchen,2023,4,True,False,Follow-up,Follow-up,0
45,2023-04-07,Google Ads,Residential,Meera T,9388861951,Rajan George,Sabu Homes,Individual,11.080219119480168,76.11560240645805,Malappuram,False Ceiling,2023,4,True,False,Won,Quotation Sent,0
46,2023-04-09,Google Ads,Office Interiors,Ajith P,9507669423,Nisha Warrier,Abdul Developers,Corporate,11.892136106787271,75.38865404787671,Kannur,Commercial Space,2023,4,True,False,Quotation Sent,Won,2427086
47,2023-04-11,JustDial,Commercial,Meera T,9429218074,Smitha Panicker,,Builder,9.949163318239515,76.25046168491079,Kochi,Bedroom Design,2023,4,True,False,Site Visit,Won,526377
48,2023-04-14,Google Ads,Commercial,Ajith P,9757532555,Babu Namboothiri,,Small Business,10.572192464403209,76.21445793174308,Thrissur,Pooja Room,2023,4,True,False,Design Phase,Lost,0
49,2023-04-16,Referral,Modular Kitchen,Rahul S,9429163050,Rajesh Nair,,Architect Referral,9.477682409749654,76.35337250433511,Alappuzha,Office Cabin,2023,4,True,False,Won,Site Visit,408422
50,2023-04-18,Instagram,Renovation,Priya M,9888431804,Mohammed George,,Builder,8.84331120941962,76.61515704087284,Kollam,Traditional Living Room,2023,4,True,False,Won,Follow-up,0
51,2023-04-20,Facebook,Residential,Ajith P,9320537946,Smitha Hassan,,Small Business,8.50129545593982,76.89859529417309,Thiruvananthapuram,Bathroom Renovation,2023,4,True,False,Won,Site Visit,388355
52,2023-04-22,JustDial,Commercial,Rahul S,9343374559,Anoop Nair,Lakshmi Enterprises,Individual,11.230589137962674,75.7616064044652,Kozhikode,Office Cabin,2023,4,True,False,Site Visit,Design Phase,0
53,2023-04-25,Google Ads,Modular Kitchen,Rahul S,9848436028,Anjali Das,,Individual,10.543783458511399,76.24463960305536,Thrissur,Pooja Room,2023,4,True,False,Won,Site Visit,0
54,2023-04-27,Website,Modular Kitchen,Priya M,9563956425,Divya Thomas,Rajan LLP,Builder,9.944571159976553,76.30344180460956,Kochi,Modular Wardrobe,2023,4,True,False,Won,Negotiation,471442
55,2023-04-29,IndiaMART,Modular Kitchen,Sneha B,9124561090,Rajan George,Manoj LLP,Builder,8.902546138270473,76.57783000327154,Kollam,Full Home Interior,2023,4,True,False,Design Phase,Follow-up,0
56,2023-05-01,Referral,Residential,Meera T,9405639774,Babu Abraham,,Corporate,10.479224344320945,76.25963867523987,Thrissur,Modern Kitchen,2023,5,True,False,Won,Won,2464697
57,2023-05-03,IndiaMART,Residential,Arun K,9273305486,Santhosh Khan,,Small Business,9.954077805445065,76.25018226178487,Kochi,False Ceiling,2023,5,True,False,Quotation Sent,Design Phase,207298
58,2023-05-06,Google Ads,Commercial,Arun K,9332058255,Rekha Patel,Nisha Interiors,Builder,10.769053041248549,76.67103137387306,Palakkad,Traditional Living Room,2023,5,True,False,Lost,Lost,0
59,2023-05-08,Instagram,Office Interiors,Vijay R,9792312316,Smitha Varma,Rajan Constructions,Corporate,10.803205598900663,76.67998251459566,Palakkad,Bathroom Renovation,2023,5,True,False,Quotation Sent,Won,477479
60,2023-05-10,Facebook,Residential,Vijay R,9392506380,Lakshmi Pillai,,Corporate,11.056657842850216,76.10229462346379,Malappuram,Commercial Space,2023,5,True,False,Follow-up,Negotiation,267777
61,2023-05-12,Walk-in,Residential,Arun K,9658692208,Abdul Warrier,,Builder,10.51187309254279,76.2589749702226,Thrissur,False Ceiling,2023,5,True,False,Quotation Sent,Lost,0
62,2023-05-14,YouTube,Renovation,Divya N,9196318451,Anoop Sharma,,Individual,10.750157626710411,76.63609195480288,Palakkad,Traditional Living Room,2023,5,True,False,Design Phase,Follow-up,0
63,2023-05-17,Facebook,Residential,Arun K,9708643530,Thomas Namboothiri,Deepa Builders,Small Business,9.890641889766048,76.30315064545516,Kochi,Commercial Space,2023,5,True,False,Won,Follow-up,0
64,2023-05-19,Website,Renovation,Vijay R,9574279610,Gopal Joseph,Suma Properties,Small Business,11.084151833311223,76.03426869034362,Malappuram,Bathroom Renovation,2023,5,True,False,Won,Lost,0
65,2023-05-21,Google Ads,Modular Kitchen,Suresh L,9525970580,Thomas Nair,,Individual,9.973039754208155,76.28780409063536,Kochi,Pooja Room,2023,5,True,False,Lost,Quotation Sent,0
66,2023-05-23,Referral,Office Interiors,Vijay R,9244904690,Santhosh Pillai,,Builder,11.06597880467643,76.0952977729514,Malappuram,Full Home Interior,2023,5,True,False,Negotiation,Won,1646436
67,2023-05-25,Instagram,Residential,Divya N,9770065589,Fathima Patel,,Small Business,10.487943411486048,76.23217232412013,Thrissur,Office Cabin,2023,5,True,False,Quotation Sent,Lost,0
68,2023-05-28,YouTube,Residential,Meera T,9384243914,Kavitha Iyer,Priya Associates,Builder,8.883402721688824,76.58933147361351,Kollam,Office Cabin,2023,5,True,False,Follow-up,Follow-up,0
69,2023-05-30,Referral,Modular Kitchen,Arun K,9158834845,Fathima Panicker,,Builder,9.520993920010516,76.37610431470152,Alappuzha,Pooja Room,2023,5,True,False,Negotiation,Negotiation,418366
70,2023-06-01,Facebook,Office Interiors,Priya M,9369629438,Anjali Thomas,Lakshmi Builders,Corporate,9.619582088401007,76.48908584633703,Kottayam,False Ceiling,2023,6,True,False,Won,Site Visit,0
71,2023-06-03,Google Ads,Modular Kitchen,Suresh L,9444551931,Suma Panicker,Gopal Enterprises,Individual,8.855021862229108,76.56946347915208,Kollam,Pooja Room,2023,6,True,False,Site Visit,Lost,0
72,2023-06-05,Google Ads,Residential,Rahul S,9762893871,Divya Kumar,Rekha Homes,Builder,11.824503071884537,75.3921464990612,Kannur,Pooja Room,2023,6,True,False,Design Phase,Negotiation,485551
73,2023-06-07,Facebook,Office Interiors,Divya N,9367131380,Divya Panicker,,Architect Referral,9.95241370458806,76.26484757152328,Kochi,Traditional Living Room,2023,6,True,False,Lost,Won,571727
74,2023-06-10,Facebook,Office Interiors,Vijay R,9167615317,Divya Sharma,,Individual,11.86015961759862,75.40530980199587,Kannur,Traditional Living Room,2023,6,True,False,Follow-up,Design Phase,0
75,2023-06-12,WhatsApp,Modular Kitchen,Priya M,9161767845,Smitha Varma,Sreelatha Interiors,Small Business,8.868648133161827,76.60243971410581,Kollam,Bathroom Renovation,2023,6,True,False,Won,Lost,0
76,2023-06-14,Referral,Office Interiors,Ajith P,9173657758,Vijay Kumar,Shyamala Constructions,Corporate,11.002289746978953,76.03792785885078,Malappuram,Full Home Interior,2023,6,True,False,Follow-up,Site Visit,299151
77,2023-06-16,Referral,Office Interiors,Sneha B,9161647309,Sabu Hassan,,Small Business,9.59562994067615,76.55584421924698,Kottayam,Traditional Living Room,2023,6,True,False,Follow-up,Won,1582713
78,2023-06-18,Google Ads,Modular Kitchen,Arun K,9815555735,Vijay Nair,Thomas Properties,Small Business,9.626715073542599,76.527090963164,Kottayam,Bathroom Renovation,2023,6,True,False,Won,Won,596312
79,2023-06-21,WhatsApp,Residential,Sneha B,9631472497,Santhosh Warrier,,Individual,11.30456316462726,75.74931957923904,Kozhikode,Modular Wardrobe,2023,6,True,False,Lost,Follow-up,0
80,2023-06-23,Walk-in,Commercial,Divya N,9985444016,Rajan Khan,,Small Business,9.598174495061329,76.54423839985864,Kottayam,Pooja Room,2023,6,True,False,Lost,Quotation Sent,92912
81,2023-06-25,Google Ads,Residential,Ajith P,9152839391,Babu George,,Builder,9.49954613277399,76.33991136384896,Alappuzha,Pooja Room,2023,6,True,False,Follow-up,Follow-up,243746
82,2023-06-27,Website,Commercial,Ajith P,9353214051,Sreelatha Pillai,Lakshmi Homes,Small Business,9.550105638548924,76.53263129822403,Kottayam,False Ceiling,2023,6,False,False,Follow-up,Design Phase,271139
83,2023-06-29,Referral,Commercial,Ajith P,9267237535,Babu Das,,Corporate,8.898087280154261,76.61018983382066,Kollam,Modular Wardrobe,2023,6,True,False,Won,Follow-up,0
84,2023-07-02,Google Ads,Residential,Rahul S,9669704118,Nisha Krishnan,Thomas Constructions,Corporate,11.246797907896541,75.8132708983818,Kozhikode,False Ceiling,2023,7,True,False,Site Visit,Follow-up,0
85,2023-07-04,Instagram,Residential,Divya N,9474175950,Suresh Abraham,Asif Interiors,Architect Referral,8.903913528088358,76.6470562715683,Kollam,Commercial Space,2023,7,True,False,Negotiation,Won,1058507
86,2023-07-06,Referral,Residential,Meera T,9149975039,Anoop Menon,Thomas Interiors,Corporate,8.882072634787654,76.63503888218243,Kollam,Bathroom Renovation,2023,7,True,False,Lost,Site Visit,112488
87,2023-07-08,Google Ads,Office Interiors,Sneha B,9613361130,Meera Sharma,Sabu Properties,Small Business,8.498129912345037,76.89714013773964,Thiruvananthapuram,Bathroom Renovation,2023,7,True,False,Won,Won,1811987
88,2023-07-10,IndiaMART,Renovation,Meera T,9122961593,Sabu George,Kavitha Developers,Corporate,11.218296527522838,75.8142853861904,Kozhikode,Pooja Room,2023,7,True,False,Site Visit,Quotation Sent,241773
89,2023-07-13,WhatsApp,Residential,Priya M,9372280930,Suresh Nair,Santhosh Associates,Individual,8.874691844458889,76.63120129805328,Kollam,Bedroom Design,2023,7,True,False,Design Phase,Quotation Sent,0
90,2023-07-15,Website,Renovation,Anjali D,9909230850,Rekha Nair,Anjali Properties,Corporate,8.483764483428775,76.95630241660042,Thiruvananthapuram,Commercial Space,2023,7,True,False,Won,Design Phase,228961
91,2023-07-17,Instagram,Commercial,Suresh L,9635213263,Nisha Abraham,,Builder,8.4917896950824,76.92289828404039,Thiruvananthapuram,Bathroom Renovation,2023,7,False,False,Lost,Follow-up,407751
92,2023-07-19,Instagram,Residential,Suresh L,9807875524,Gopal Patel,Arun LLP,Individual,11.307533615857956,75.8183279556157,Kozhikode,Traditional Living Room,2023,7,True,False,Won,Negotiation,0
93,2023-07-21,Website,Residential,Meera T,9591487060,Santhosh Hassan,Thomas Builders,Architect Referral,11.86891035569066,75.3929371600235,Kannur,Pooja Room,2023,7,True,False,Follow-up,Site Visit,0
94,2023-07-24,Referral,Commercial,Anjali D,9754273660,Rajan Nair,,Builder,11.054187176650501,76.03235904665291,Malappuram,False Ceiling,2023,7,False,False,Won,Won,1682748
95,2023-07-26,Google Ads,Office Interiors,Anjali D,9473389449,Priya Namboothiri,,Small Business,9.535461852873722,76.32957780344063,Alappuzha,Modular Wardrobe,2023,7,True,False,Lost,Negotiation,0
96,2023-07-28,Referral,Modular Kitchen,Arun K,9703844946,Mohammed Nair,Kavitha Builders,Small Business,11.100556890049068,76.10973803619602,Malappuram,False Ceiling,2023,7,True,False,Negotiation,Won,414716
97,2023-07-30,WhatsApp,Residential,Priya M,9447679256,Santhosh Khan,Fathima Developers,Small Business,9.599871444934468,76.47691967016974,Kottayam,Office Cabin,2023,7,True,False,Follow-up,Follow-up,63251
98,2023-08-01,Instagram,Residential,Divya N,9397762883,Manoj Das,,Builder,9.529347382104419,76.3849416619642,Alappuzha,Bedroom Design,2023,8,True,False,Lost,Won,1706447
99,2023-08-04,Google Ads,Commercial,Anjali D,9694089500,Smitha Hassan,,Builder,9.574294102433667,76.54011625683195,Kottayam,Bathroom Renovation,2023,8,False,False,Lost,Won,294697
100,2023-08-06,Walk-in,Residential,Vijay R,9128905854,Suresh Varma,,Builder,8.873774395744729,76.62723759776433,Kollam,Full Home Interior,2023,8,False,False,Follow-up,Lost,0
101,2023-08-08,Facebook,Residential,Suresh L,9925895594,Anjali Pillai,,Individual,9.921470372099456,76.2443559256488,Kochi,Modern Kitchen,2023,8,True,False,Won,Lost,0
102,2023-08-10,Facebook,Residential,Vijay R,9856452801,Santhosh Varma,Nisha Interiors,Individual,11.276050726267366,75.75527917887392,Kozhikode,Bedroom Design,2023,8,True,False,Won,Negotiation,20207
103,2023-08-12,Google Ads,Office Interiors,Priya M,9990763337,Santhosh Varma,,Small Business,9.516319168925511,76.38300582194887,Alappuzha,Pooja Room,2023,8,True,False,Quotation Sent,Won,1126333
104,2023-08-15,Facebook,Renovation,Anjali D,9694575932,Meera Iyer,Kavitha Associates,Corporate,9.479623943464945,76.31862724542341,Alappuzha,Bathroom Renovation,2023,8,True,False,Won,Follow-up,0
105,2023-08-17,Walk-in,Commercial,Sneha B,9697990314,Abdul Hassan,Divya Properties,Small Business,8.856520992413664,76.64165052967189,Kollam,Modular Wardrobe,2023,8,True,True,Negotiation,Won,504623
106,2023-08-19,Referral,Renovation,Suresh L,9438615960,Santhosh Joseph,,Architect Referral,11.88773962564655,75.35971217982072,Kannur,Bathroom Renovation,2023,8,True,False,Design Phase,Follow-up,0
107,2023-08-21,Facebook,Residential,Arun K,9398433583,Vijay Joseph,Thankam Constructions,Individual,8.486932586218877,76.90052540707848,Thiruvananthapuram,Modern Kitchen,2023,8,False,False,Lost,Negotiation,0
108,2023-08-23,JustDial,Commercial,Arun K,9515975634,Arun Krishnan,,Builder,8.901049250822933,76.56517152976953,Kollam,Modular Wardrobe,2023,8,True,False,Lost,Follow-up,51340
109,2023-08-25,JustDial,Residential,Ajith P,9608570454,Rajan George,Lakshmi Group,Individual,10.80604221280563,76.65922573370152,Palakkad,False Ceiling,2023,8,True,False,Follow-up,Site Visit,455450
110,2023-08-28,JustDial,Modular Kitchen,Rahul S,9865286295,Lakshmi Nair,,Builder,8.544161149639447,76.98417788185489,Thiruvananthapuram,Modular Wardrobe,2023,8,True,False,Quotation Sent,Lost,0
111,2023-08-30,Facebook,Renovation,Anjali D,9654599050,Gopal Panicker,Rekha Enterprises,Architect Referral,11.28414721106596,75.76731361938091,Kozhikode,Bedroom Design,2023,8,True,False,Design Phase,Site Visit,378455
112,2023-09-01,Instagram,Modular Kitchen,Priya M,9869398381,Priya Panicker,,Architect Referral,8.561385942156567,76.9223192333993,Thiruvananthapuram,False Ceiling,2023,9,True,False,Site Visit,Lost,0
113,2023-09-03,YouTube,Commercial,Suresh L,9621778145,Rajesh Menon,Deepa Homes,Individual,11.874495899196479,75.35480916178494,Kannur,Bathroom Renovation,2023,9,True,False,Won,Follow-up,85320
114,2023-09-05,Walk-in,Modular Kitchen,Rahul S,9494730166,Rekha Pillai,,Builder,8.547124918952958,76.93865438373048,Thiruvananthapuram,Pooja Room,2023,9,True,False,Negotiation,Negotiation,438373
115,2023-09-08,Google Ads,Residential,Priya M,9609069851,Sabu Sharma,,Architect Referral,11.270717273536585,75.77446648834243,Kozhikode,Commercial Space,2023,9,True,False,Lost,Won,1014211
116,2023-09-10,Google Ads,Office Interiors,Meera T,9218873796,Kavitha Nair,Sreelatha Enterprises,Small Business,11.843163993979768,75.40839146267271,Kannur,Pooja Room,2023,9,True,False,Follow-up,Negotiation,283363
117,2023-09-12,Instagram,Commercial,Anjali D,9671542718,Rekha Thomas,,Small Business,11.003568964486941,76.07165207917235,Malappuram,Bathroom Renovation,2023,9,True,False,Won,Negotiation,0
118,2023-09-14,JustDial,Commercial,Divya N,9929183636,Suresh Hassan,Arun Enterprises,Builder,9.476554138567694,76.33957578381886,Alappuzha,Modern Kitchen,2023,9,False,False,Won,Lost,0
119,2023-09-16,Referral,Modular Kitchen,Divya N,9742135939,Fathima Abraham,Asif Enterprises,Individual,9.492403370633763,76.30263715947206,Alappuzha,Commercial Space,2023,9,True,True,Site Visit,Won,995161
120,2023-09-19,Referral,Modular Kitchen,Anjali D,9576935925,Manoj Abraham,Vijay Homes,Architect Referral,9.603310594442865,76.57047395409104,Kottayam,Bathroom Renovation,2023,9,True,False,Follow-up,Won,856479
121,2023-09-21,Google Ads,Residential,Ajith P,9333706608,Suresh Joseph,,Individual,11.08599593305032,76.04609728908689,Malappuram,Full Home Interior,2023,9,True,False,Lost,Design Phase,241615
122,2023-09-23,Website,Modular Kitchen,Ajith P,9915750821,Priya Patel,Thomas Enterprises,Small Business,11.020624571670616,76.02843640674597,Malappuram,Bedroom Design,2023,9,True,False,Lost,Negotiation,95693
123,2023-09-25,WhatsApp,Residential,Divya N,9500111512,Abdul Kurup,Shyamala Homes,Architect Referral,8.486654978989849,76.95291462489752,Thiruvananthapuram,Full Home Interior,2023,9,False,False,Quotation Sent,Won,2285004
124,2023-09-27,Instagram,Modular Kitchen,Sneha B,9117196045,Anjali Menon,Nisha Homes,Individual,9.544447994747433,76.34833663701569,Alappuzha,False Ceiling,2023,9,True,False,Site Visit,Lost,0
125,2023-09-30,Walk-in,Office Interiors,Suresh L,9329127882,Anjali Sharma,Arun Group,Corporate,11.219604455937642,75.77191456539927,Kozhikode,Office Cabin,2023,9,True,False,Lost,Follow-up,299194
126,2023-10-02,IndiaMART,Office Interiors,Divya N,9955560479,Priya Sharma,Arun Interiors,Builder,10.525449107010719,76.20661922338806,Thrissur,Bathroom Renovation,2023,10,True,True,Won,Quotation Sent,340810
127,2023-10-04,Facebook,Modular Kitchen,Sneha B,9979456138,Thankam Abraham,Rajesh Builders,Builder,10.53615637287933,76.24290639210464,Thrissur,Traditional Living Room,2023,10,True,False,Lost,Won,103010
128,2023-10-06,Referral,Commercial,Rahul S,9455760316,Sabu Krishnan,Divya LLP,Corporate,11.878637442090744,75.33997126400998,Kannur,Traditional Living Room,2023,10,True,False,Design Phase,Won,1661029
129,2023-10-08,Facebook,Residential,Sneha B,9850701457,Priya Warrier,Priya LLP,Small Business,9.456703215703294,76.3708253318945,Alappuzha,Modular Wardrobe,2023,10,True,False,Follow-up,Quotation Sent,0
130,2023-10-11,Walk-in,Office Interiors,Rahul S,9582888858,Anoop Das,,Architect Referral,9.453802691400362,76.3536747113895,Alappuzha,Pooja Room,2023,10,True,False,Follow-up,Won,230680
131,2023-10-13,Referral,Residential,Priya M,9862492470,Arun Abraham,,Builder,10.488148342746102,76.20629697737795,Thrissur,Pooja Room,2023,10,True,False,Follow-up,Won,1660000
132,2023-10-15,Website,Commercial,Vijay R,9588086197,Smitha Iyer,Mohammed Enterprises,Corporate,9.506658768387263,76.3346028616584,Alappuzha,Pooja Room,2023,10,True,False,Lost,Design Phase,0
133,2023-10-17,Walk-in,Residential,Priya M,9628807633,Abdul Hassan,Vijay Constructions,Corporate,8.528534488763432,76.91226472071861,Thiruvananthapuram,Full Home Interior,2023,10,True,False,Site Visit,Negotiation,22076
134,2023-10-19,Instagram,Residential,Divya N,9572718199,Suresh Kumar,Vijay Builders,Small Business,10.760074079203674,76.6800114332697,Palakkad,Bedroom Design,2023,10,True,False,Follow-up,Won,1778719
135,2023-10-22,JustDial,Modular Kitchen,Rahul S,9923310806,Meera Hassan,Deepa Builders,Small Business,9.94497741418456,76.26858747423053,Kochi,Bathroom Renovation,2023,10,True,False,Won,Won,953057
